    PID TTY          TIME CMD
   1492 ?        00:00:00 gpg-agent
   1182 ?        00:00:00 pipewire
   1183 ?        00:00:00 pipewire
   1185 ?        00:00:00 pipewire-pulse
   1552 ?        00:00:01 blueman-applet
   1725 ?        00:00:00 blueman-tray
   1555 ?        00:00:00 applet.py
   1483 ?        00:00:00 ssh-agent
   1184 ?        00:00:00 wireplumber
    787 ?        00:00:00 accounts-daemon
   1476 ?        00:00:00 at-spi2-registr
   1452 ?        00:00:00 at-spi-bus-laun
    791 ?        00:00:00 bluetoothd
   1736 ?        00:00:00 obexd
   1607 ?        00:00:00 colord
   1579 ?        00:00:00 dconf-service
   1889 ?        00:00:00 evolution-addre
   1835 ?        00:00:00 evolution-calen
   1601 ?        00:00:00 evolution-alarm
   1756 ?        00:00:00 evolution-sourc
   1643 ?        00:00:00 agent
   1775 ?        00:00:00 goa-daemon
   1787 ?        00:00:00 goa-identity-se
   1850 ?        00:00:00 gvfs-afc-volume
   1445 ?        00:00:00 gvfsd
   1451 ?        00:00:00 gvfsd-fuse
   1856 ?        00:00:00 gvfs-goa-volume
   1845 ?        00:00:00 gvfs-gphoto2-vo
   1861 ?        00:00:00 gvfs-mtp-volume
   1839 ?        00:00:00 gvfs-udisks2-vo
   1214 ?        00:00:00 rtkit-daemon
    826 ?        00:00:00 switcheroo-cont
    830 ?        00:00:00 udisksd
   1511 ?        00:00:00 upowerd
   1971 ?        00:00:00 xdg-desktop-por
   2009 ?        00:00:00 xdg-desktop-por
   1990 ?        00:00:00 xdg-desktop-por
   1981 ?        00:00:00 xdg-document-po
   1259 ?        00:00:00 xdg-permission-
   1661 ?        00:00:00 polkit-gnome-au
    823 ?        00:00:00 polkitd
    291 ?        00:00:01 systemd-journal
    827 ?        00:00:00 systemd-logind
    706 ?        00:00:00 systemd-resolve
    710 ?        00:00:00 systemd-timesyn
    345 ?        00:00:00 systemd-udevd
   1172 ?        00:00:00 systemd
   1554 ?        00:00:00 xfce4-notifyd
   1536 ?        00:00:00 panel-12-pulsea
   1530 ?        00:00:00 panel-8-systray
   1529 ?        00:00:00 panel-1-whisker
   1531 ?        00:00:00 panel-10-xapp-s
   1532 ?        00:00:00 panel-11-power-
   1469 ?        00:00:00 xfconfd
   1077 tty7     00:00:24 Xorg
    792 ?        00:00:00 cron
   1123 ?        00:00:00 cups-browsed
   1043 ?        00:00:00 cupsd
    798 ?        00:00:00 irqbalance
   1133 ?        00:00:00 kerneloops
   1130 ?        00:00:00 kerneloops
   1061 ?        00:00:00 lightdm
    946 ?        00:00:00 ModemManager
    902 ?        00:00:00 NetworkManager
    860 ?        00:00:00 rsyslogd
    828 ?        00:00:03 thermald
    905 ?        00:00:00 wpa_supplicant
     64 ?        00:00:00 watchdogd
   1517 ?        00:00:01 xfce4-panel
   1559 ?        00:00:00 xfce4-power-man
   1186 ?        00:00:00 xfce4-session
   2330 ?        00:00:01 xfce4-terminal
   1528 ?        00:00:00 xfdesktop
   1507 ?        00:00:00 xfsettingsd
   1495 ?        00:00:05 xfwm4
   1567 ?        00:00:00 xiccd
    832 ?        00:00:00 zed
    631 ?        00:00:00 z_vdev_file
    625 ?        00:00:00 zvol
